,date,Labor Productivity,Unemployment Rate,Federal Funds Rate,CPI,GDP,Population,GDP_per_capita
0,1999-01-01,4.1,4.3,4.07,2.383116,9411.682,277891.0,0.03386825050109576
1,1999-04-01,3.9,4.3,5.41,2.226592,9526.21,278584.0,0.03419510811819774
2,1999-07-01,3.5,4.3,5.76,2.111144,9686.626,279448.0,0.034663429332111875
3,1999-10-01,4.2,4.1,5.26,2.04962,9900.169,280337.0,0.035315242012292344
4,2000-01-01,2.4,4.0,3.99,2.335519,10002.179,281083.0,0.03558443235627911
5,2000-04-01,4.0,3.8,6.17,2.409239,10247.72,281763.0,0.03636999889978457
6,2000-07-01,3.0,4.0,6.86,2.71297,10318.165,282504.0,0.036523960722680035
7,2000-10-01,2.6,3.9,6.6,2.919941,10435.744,283285.0,0.036838321831371236
8,2001-01-01,2.4,4.2,5.41,2.878468,10470.231,283960.0,0.03687220383152556
9,2001-04-01,2.1,4.4,5.29,3.091112,10599.0,284602.0,0.03724148108586728
10,2001-07-01,2.8,4.6,3.95,3.207811,10598.02,285324.0,0.03714380844233223
11,2001-10-01,3.0,5.3,3.02,3.484066,10660.465,286086.0,0.03726314814426431
12,2002-01-01,5.8,5.7,1.52,3.557463,10783.5,286739.0,0.037607371163322745
13,2002-04-01,4.1,5.9,1.88,3.465822,10887.46,287343.0,0.037890117385842005
14,2002-07-01,4.3,5.8,1.83,3.263706,10984.04,288051.0,0.038132275187380014
15,2002-10-01,2.9,5.7,1.85,2.937194,11061.433,288794.0,0.038302156554499055
16,2003-01-01,1.8,5.8,1.16,2.778159,11174.129,289412.0,0.038609763935151274
17,2003-04-01,3.0,6.0,1.29,2.450573,11312.766,290024.0,0.039006309822635366
18,2003-07-01,4.4,6.2,1.11,2.228217,11566.669,290726.0,0.03978546466432311
19,2003-10-01,5.5,6.0,1.11,2.150681,11772.234,291463.0,0.04039014900690654
20,2004-01-01,4.2,5.7,0.94,1.949813,11923.447,292046.0,0.0408272909062271
21,2004-04-01,3.9,5.6,1.03,2.247883,12112.815,292651.0,0.04138996620548025
22,2004-07-01,2.2,5.5,1.4,2.254997,12305.307,293350.0,0.04194752684506562
